City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Carnarvon,AU,78.57,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
75,Mount Gambier,AU,58.21,overcast clouds,-37.8333,140.7667,The Commodore
76,Tripoli,LY,54.43,clear sky,32.8752,13.1875,Al Waddan Hotel
77,Melo,UY,68.81,moderate rain,-32.3667,-54.1833,Hotel Juana
78,Newport,GB,53.71,clear sky,51.5877,-2.9984,ibis budget Newport
79,Dingle,PH,76.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Riyadh,SA,77.9,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
81,Shimoda,JP,38.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
82,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
83,Castres,FR,51.42,clear sky,43.5833,2.1667,Le 81 Hôtel
84,Atyrau,KZ,23.02,mist,47.1167,51.8833,River Palace Hotel
85,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
86,Uvelskiy,RU,23.7,overcast clouds,54.4446,61.3574,Благодать
87,Makarska,HR,51.85,clear sky,43.2969,17.0178,Hotel Park Makarska
88,Kropotkin,RU,35.69,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
89,Polson,US,50.72,scattered clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
90,Palmer,US,53.85,few clouds,42.1584,-72.3287,Wedgewood Motel
91,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
92,Saint George,US,66.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
93,Port Elizabeth,ZA,70.32,clear sky,-33.918,25.5701,39 On Nile Guest House
94,Portland,US,65.41,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
95,Flinders,AU,70.38,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
96,Korla,CN,43.92,few clouds,41.7597,86.1469,Gulisitan Hotel
97,Codrington,AU,59.04,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
98,Kenai,US,30.29,few clouds,60.5544,-151.2583,Aspen Extended Stay Suites
99,Jiayuguan,CN,39.06,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
100,Vuktyl,RU,24.26,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
101,Astoria,US,61.43,haze,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
102,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
