City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Manicore,BR,2022-03-16 14:44:05,-5.8092,-61.3003,87.17,63,70,2.37
111,Port Alfred,ZA,2022-03-16 14:44:05,-33.5906,26.891,71.4,61,6,10.36
112,Ponta Do Sol,PT,2022-03-16 14:44:06,32.6667,-17.1,67.01,52,0,4.18
113,Moche,PE,2022-03-16 14:44:06,-8.1711,-79.0092,69.98,83,20,10.36
114,Saldanha,ZA,2022-03-16 14:44:06,-33.0117,17.9442,84.25,70,40,17.63
115,Hovd,MN,2022-03-16 14:44:07,48.0056,91.6419,27.97,26,3,9.42
116,Georgetown,MY,2022-03-16 14:44:07,5.4112,100.3354,80.53,99,40,5.75
117,Effingham,US,2022-03-16 14:44:07,32.3669,-81.3332,69.75,97,100,7.78
118,Lagoa,PT,2022-03-16 14:44:08,39.05,-27.9833,56.71,60,100,10.13
119,Talnakh,RU,2022-03-16 14:44:08,69.4865,88.3972,-9.96,92,65,5.55
120,Tabou,CI,2022-03-16 14:44:09,4.423,-7.3528,84.2,69,100,7.14
121,Kaitangata,NZ,2022-03-16 14:44:09,-46.2817,169.8464,50.0,88,99,7.23
122,Khanpur,PK,2022-03-16 14:44:09,28.6453,70.6567,91.54,12,23,5.1
123,Cidreira,BR,2022-03-16 14:44:10,-30.1811,-50.2056,76.19,70,100,15.48
124,Faanui,PF,2022-03-16 14:44:10,-16.4833,-151.75,81.09,67,1,7.78
125,Pringsewu,ID,2022-03-16 14:44:11,-5.3582,104.9744,74.95,96,91,2.77
126,Norman Wells,CA,2022-03-16 14:42:21,65.282,-126.8329,-21.96,69,75,0.0
127,Chigorodo,CO,2022-03-16 14:44:11,7.6664,-76.6811,80.4,83,40,3.44
128,Longyearbyen,SJ,2022-03-16 14:44:12,78.2186,15.6401,37.24,81,75,20.71
129,Abnub,EG,2022-03-16 14:44:12,27.2696,31.1511,62.82,20,0,15.57
130,Tocopilla,CL,2022-03-16 14:44:12,-22.092,-70.1979,73.33,74,20,8.9
131,Esterhazy,CA,2022-03-16 14:44:13,50.65,-102.0843,32.85,99,100,10.71
132,Neftcala,AZ,2022-03-16 14:44:13,39.3742,49.2472,42.01,68,64,6.55
133,Karatau,KZ,2022-03-16 14:44:13,43.1667,70.4667,41.68,93,100,10.54
134,Kodiak,US,2022-03-16 14:44:14,57.79,-152.4072,35.11,93,100,0.0
135,Rio Gallegos,AR,2022-03-16 14:43:43,-51.6226,-69.2181,55.45,47,20,6.91
136,Mount Gambier,AU,2022-03-16 14:44:14,-37.8333,140.7667,64.31,100,40,6.91
137,Tarko-Sale,RU,2022-03-16 14:44:15,64.9225,77.785,13.75,98,90,8.7
138,Saint Anthony,US,2022-03-16 14:44:15,45.0205,-93.218,48.9,67,20,6.91
139,Kavieng,PG,2022-03-16 14:45:16,-2.5744,150.7967,82.36,77,70,12.91
140,Tiznit,MA,2022-03-16 14:45:16,29.5833,-9.5,57.49,71,88,16.73
141,Teya,RU,2022-03-16 14:45:17,60.3778,92.6267,5.79,99,100,2.86
142,Garowe,SO,2022-03-16 14:45:17,8.4054,48.4845,86.97,17,6,7.23
143,Barinas,VE,2022-03-16 14:45:17,8.6226,-70.2075,86.07,46,89,6.2
144,Kruisfontein,ZA,2022-03-16 14:45:18,-34.0033,24.7314,68.88,54,29,8.86
145,Bergerac,FR,2022-03-16 14:45:18,44.8333,0.5,62.87,63,0,4.61
146,Kaharlyk,UA,2022-03-16 14:45:18,49.8623,30.8282,34.7,47,5,10.16
147,Ahipara,NZ,2022-03-16 14:45:19,-35.1667,173.1667,62.91,87,100,5.88
148,Alta Floresta,BR,2022-03-16 14:45:19,-9.8756,-56.0861,78.62,94,75,2.3
149,New Norfolk,AU,2022-03-16 14:45:20,-42.7826,147.0587,63.9,76,96,2.17
150,Serenje,ZM,2022-03-16 14:45:20,-13.2325,30.2352,72.72,81,94,5.35
151,Hithadhoo,MV,2022-03-16 14:45:20,-0.6,73.0833,84.43,71,100,10.89
152,Hannibal,US,2022-03-16 14:45:21,39.7084,-91.3585,57.7,67,0,6.91
153,Lompoc,US,2022-03-16 14:45:21,34.6391,-120.4579,55.94,86,0,27.0
154,Muli,MV,2022-03-16 14:45:21,2.9167,73.5667,83.64,73,100,10.31
