City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Vao,NC,2022-03-22 20:04:08,-22.6667,167.4833,76.15,70,58,9.35,broken clouds
113,Oistins,BB,2022-03-22 20:04:09,13.0667,-59.5333,78.91,70,1,16.06,clear sky
114,Kapaa,US,2022-03-22 20:03:29,22.0752,-159.319,75.18,88,100,19.57,thunderstorm with rain
115,Carnarvon,AU,2022-03-22 20:04:09,-24.8667,113.6333,78.57,65,89,15.75,overcast clouds
116,Mount Gambier,AU,2022-03-22 20:04:10,-37.8333,140.7667,58.21,58,90,8.68,overcast clouds
117,Airai,TL,2022-03-22 20:04:10,-8.9266,125.4092,59.59,91,100,1.03,overcast clouds
118,Tripoli,LY,2022-03-22 20:04:10,32.8752,13.1875,54.43,51,4,12.17,clear sky
119,Marzuq,YE,2022-03-22 20:04:11,14.4,46.4667,72.21,48,10,5.35,clear sky
120,Melo,UY,2022-03-22 20:04:11,-32.3667,-54.1833,68.81,86,100,3.38,moderate rain
121,Newport,GB,2022-03-22 20:00:01,51.5877,-2.9984,53.71,62,0,6.22,clear sky
122,Dingle,PH,2022-03-22 20:04:12,10.9995,122.6711,76.71,91,100,6.02,overcast clouds
123,Saskylakh,RU,2022-03-22 20:04:12,71.9167,114.0833,-10.68,99,100,2.28,overcast clouds
124,San,ML,2022-03-22 19:59:42,13.3034,-4.8956,93.63,10,81,9.15,broken clouds
125,Atuona,PF,2022-03-22 20:04:12,-9.8,-139.0333,79.18,79,100,15.88,light rain
126,Tessalit,ML,2022-03-22 20:04:13,20.1986,1.0114,78.06,8,0,7.99,clear sky
127,Riyadh,SA,2022-03-22 20:00:26,24.6877,46.7219,77.9,13,0,5.93,clear sky
128,Shimoda,JP,2022-03-22 20:04:13,34.6667,138.95,38.1,70,100,17.56,overcast clouds
129,Quatre Cocos,MU,2022-03-22 20:04:14,-20.2078,57.7625,78.1,85,24,11.68,light rain
130,Kloulklubed,PW,2022-03-22 20:04:14,7.0419,134.2556,81.46,79,100,16.91,overcast clouds
131,Castres,FR,2022-03-22 20:05:15,43.5833,2.1667,51.42,57,0,33.38,clear sky
132,Atyrau,KZ,2022-03-22 20:02:21,47.1167,51.8833,23.02,93,7,6.71,mist
133,Monrovia,LR,2022-03-22 20:02:53,6.3005,-10.7969,80.37,84,100,9.84,overcast clouds
134,Ribeira Grande,PT,2022-03-22 20:05:15,38.5167,-28.7,61.2,77,40,11.5,scattered clouds
135,Uvelskiy,RU,2022-03-22 20:05:16,54.4446,61.3574,23.7,83,100,12.41,overcast clouds
136,Peleduy,RU,2022-03-22 20:05:16,59.6289,112.7406,20.88,97,100,5.14,overcast clouds
137,Makarska,HR,2022-03-22 20:05:16,43.2969,17.0178,51.85,54,0,10.11,clear sky
138,Sobolevo,RU,2022-03-22 20:05:17,54.4299,31.8996,34.14,98,100,4.85,overcast clouds
139,Kropotkin,RU,2022-03-22 20:05:17,45.4375,40.5756,35.69,47,0,16.04,clear sky
140,Hithadhoo,MV,2022-03-22 20:05:18,-0.6,73.0833,83.35,75,0,14.45,clear sky
141,Polson,US,2022-03-22 20:05:18,47.6936,-114.1632,50.72,50,40,1.99,scattered clouds
142,Nanakuli,US,2022-03-22 20:05:19,21.3906,-158.1547,80.55,65,0,8.05,light rain
143,Palmer,US,2022-03-22 20:05:19,42.1584,-72.3287,53.85,18,20,21.85,few clouds
144,Sao Joao Da Barra,BR,2022-03-22 20:05:19,-21.6403,-41.0511,75.29,63,32,12.66,scattered clouds
145,Saint George,US,2022-03-22 20:00:31,37.1041,-113.5841,66.43,23,0,7.0,clear sky
146,Barrow,US,2022-03-22 20:05:20,71.2906,-156.7887,-23.78,91,0,9.22,clear sky
147,Port Elizabeth,ZA,2022-03-22 20:03:19,-33.918,25.5701,70.32,95,2,3.0,clear sky
148,Portland,US,2022-03-22 20:02:22,45.5234,-122.6762,65.41,83,40,6.91,scattered clouds
149,Flinders,AU,2022-03-22 20:05:21,-34.5833,150.8552,70.38,86,91,11.07,light rain
150,Kamenka,RU,2022-03-22 20:05:21,51.3223,42.7678,27.81,96,100,11.05,overcast clouds
151,Korla,CN,2022-03-22 20:05:21,41.7597,86.1469,43.92,67,18,1.81,few clouds
152,Codrington,AU,2022-03-22 20:05:22,-38.2667,141.9667,59.04,63,100,12.97,overcast clouds
153,Davila,PH,2022-03-22 20:05:22,18.4726,120.5763,79.93,83,62,14.56,broken clouds
154,Kenai,US,2022-03-22 20:05:22,60.5544,-151.2583,30.29,50,20,19.57,few clouds
155,Jiayuguan,CN,2022-03-22 20:05:23,39.8167,98.3,39.06,50,4,5.88,clear sky
156,Mazagao,BR,2022-03-22 20:05:23,-0.115,-51.2894,87.85,85,100,0.74,overcast clouds
157,San Jose Del Guaviare,CO,2022-03-22 20:05:24,2.5729,-72.6459,82.76,77,60,2.66,broken clouds
158,Vuktyl,RU,2022-03-22 20:05:24,63.8567,57.3094,24.26,81,100,13.18,overcast clouds
159,Astoria,US,2022-03-22 20:01:25,46.1879,-123.8313,61.43,91,100,4.61,haze
160,Adrar,MR,2022-03-22 20:05:24,20.5022,-10.0711,81.73,9,0,7.11,clear sky
161,Dzaoudzi,YT,2022-03-22 20:05:25,-12.7887,45.2699,82.29,83,0,3.44,clear sky
162,Alofi,NU,2022-03-22 20:05:25,-19.0595,-169.9187,82.29,89,75,4.61,broken clouds
